site_id,strategy,K,selected_ex,rho_structure,relative_frobenius_error_fullrange,spectral_cosine_fullrange
S21,Uniform,8,300;355;415;470;530;585;645;700,0.9890530925013684,0.5493426874227995,0.8358212260565356
S22,NAIG,2,365;695,0.9392446633825944,0.5834917585256404,0.8343705383332308
S22,NAIG,3,365;695;425,0.9512862616310894,0.5610275765511509,0.8593257286383392
S22,NAIG,4,365;695;425;545,0.9501915708812262,0.530947916368783,0.8663943090928538
S22,NAIG,6,365;695;425;545;480;620,0.9518336070060208,0.524098261395611,0.8714549280583114
S22,NAIG,8,365;695;425;545;480;620;315;335,0.952928297755884,0.5959221833485138,0.808018659262276
S22,Uniform,2,300;700,0.8489326765188835,0.6056297417454498,0.82326233878717
S22,Uniform,3,300;500;700,0.8949096880131364,0.5839165807504517,0.8370572009223035
S22,Uniform,4,300;435;565;700,0.9605911330049264,0.5588484497197718,0.8304269309603818
S22,Uniform,6,300;380;460;540;620;700,0.981937602627258,0.4786111274389454,0.8829578592295221
S22,Uniform,8,300;355;415;470;530;585;645;700,0.9906951286261632,0.4662092754318269,0.884720308256242
S23,NAIG,2,400;660,0.794745484400657,0.2976538221866516,0.9559735654074422
S23,NAIG,3,400;660;620,0.8631636562671046,0.3003173944670355,0.9563948996467442
S23,NAIG,4,400;660;620;535,0.8675424192665572,0.2995580076321036,0.9555739544234508
